"idDate","date","numWeek","nameOf","continuousHoliday","nameDay","checkHoliday","nameType"
"91","2020-03-31","13","Normal Day","no","Tuesday","not holiday","weekDay"
"92","2020-04-01","14","Normal Day","no","Wednesday","not holiday","weekDay"
"93","2020-04-02","14","Normal Day","no","Thursday","not holiday","weekDay"
"94","2020-04-03","14","Normal Day","no","Friday","not holiday","weekDay"
"95","2020-04-04","14","Normal Day","no","Saturday","holiday","weekEnd"
"96","2020-04-05","14","Normal Day","no","Sunday","holiday","weekEnd"
"97","2020-04-06","14","Chakri Memorial Day","no","Monday","holiday","Spacial"
"98","2020-04-07","14","Normal Day","no","Tuesday","not holiday","weekDay"
"99","2020-04-08","15","Normal Day","no","Wednesday","not holiday","weekDay"
"100","2020-04-09","15","Normal Day","no","Thursday","not holiday","weekDay"
"101","2020-04-10","15","Normal Day","no","Friday","not holiday","weekDay"
"102","2020-04-11","15","Normal Day","yes","Saturday","holiday","weekEnd"
"103","2020-04-12","15","Normal Day","yes","Sunday","holiday","weekEnd"
"104","2020-04-13","15","Songkran Festival","yes","Monday","holiday","Spacial"
"105","2020-04-14","15","Songkran Festival","yes","Tuesday","holiday","Spacial"
"106","2020-04-15","16","Songkran Festival","yes","Wednesday","holiday","Spacial"
"107","2020-04-16","16","Normal Day","no","Thursday","not holiday","weekDay"
"108","2020-04-17","16","Normal Day","no","Friday","not holiday","weekDay"
"109","2020-04-18","16","Normal Day","no","Saturday","holiday","weekEnd"
"110","2020-04-19","16","Normal Day","no","Sunday","holiday","weekEnd"
"111","2020-04-20","16","Normal Day","no","Monday","not holiday","weekDay"
"112","2020-04-21","16","Normal Day","no","Tuesday","not holiday","weekDay"
"113","2020-04-22","17","Normal Day","no","Wednesday","not holiday","weekDay"
"114","2020-04-23","17","Normal Day","no","Thursday","not holiday","weekDay"
"115","2020-04-24","17","Normal Day","no","Friday","not holiday","weekDay"
"116","2020-04-25","17","Normal Day","no","Saturday","holiday","weekEnd"
"117","2020-04-26","17","Normal Day","no","Sunday","holiday","weekEnd"
"118","2020-04-27","17","Normal Day","no","Monday","not holiday","weekDay"
"119","2020-04-28","17","Normal Day","no","Tuesday","not holiday","weekDay"
"120","2020-04-29","18","Normal Day","no","Wednesday","not holiday","weekDay"
"121","2020-04-30","18","Normal Day","no","Thursday","not holiday","weekDay"
"122","2020-05-01","18","Labour Day","no","Friday","holiday","Spacial"
"123","2020-05-02","18","Normal Day","yes","Saturday","holiday","weekEnd"
"124","2020-05-03","18","Normal Day","yes","Sunday","holiday","weekEnd"
"125","2020-05-04","18","Coronation Day","yes","Monday","holiday","Spacial"
"126","2020-05-05","18","Normal Day","no","Tuesday","not holiday","weekDay"
"127","2020-05-06","19","Vesak Day","no","Wednesday","holiday","Spacial"
"128","2020-05-07","19","Normal Day","no","Thursday","not holiday","weekDay"
"129","2020-05-08","19","Normal Day","no","Friday","not holiday","weekDay"
"130","2020-05-09","19","Normal Day","no","Saturday","holiday","weekEnd"
"131","2020-05-10","19","Normal Day","no","Sunday","holiday","weekEnd"
"132","2020-05-11","19","Royal Ploughing Ceremony","no","Monday","holiday","Spacial"
"133","2020-05-12","19","Normal Day","no","Tuesday","not holiday","weekDay"
"134","2020-05-13","20","Normal Day","no","Wednesday","not holiday","weekDay"
"135","2020-05-14","20","Normal Day","no","Thursday","not holiday","weekDay"
"136","2020-05-15","20","Normal Day","no","Friday","not holiday","weekDay"
"137","2020-05-16","20","Normal Day","no","Saturday","holiday","weekEnd"
"138","2020-05-17","20","Normal Day","no","Sunday","holiday","weekEnd"
"139","2020-05-18","20","Normal Day","no","Monday","not holiday","weekDay"
"140","2020-05-19","20","Normal Day","no","Tuesday","not holiday","weekDay"
"141","2020-05-20","21","Normal Day","no","Wednesday","not holiday","weekDay"
"142","2020-05-21","21","Normal Day","no","Thursday","not holiday","weekDay"
"143","2020-05-22","21","Normal Day","no","Friday","not holiday","weekDay"
"144","2020-05-23","21","Normal Day","no","Saturday","holiday","weekEnd"
"145","2020-05-24","21","Normal Day","no","Sunday","holiday","weekEnd"
"146","2020-05-25","21","Normal Day","no","Monday","not holiday","weekDay"
"147","2020-05-26","21","Normal Day","no","Tuesday","not holiday","weekDay"
"148","2020-05-27","22","Normal Day","no","Wednesday","not holiday","weekDay"
"149","2020-05-28","22","Normal Day","no","Thursday","not holiday","weekDay"
"150","2020-05-29","22","Normal Day","no","Friday","not holiday","weekDay"
"151","2020-05-30","22","Normal Day","no","Saturday","holiday","weekEnd"
"152","2020-05-31","22","Normal Day","no","Sunday","holiday","weekEnd"
"153","2020-06-01","22","Normal Day","no","Monday","not holiday","weekDay"
"154","2020-06-02","22","Normal Day","no","Tuesday","not holiday","weekDay"
"155","2020-06-03","23","H.M. The Queen Suthida's Birthday","no","Wednesday","holiday","Spacial"
"156","2020-06-04","23","Normal Day","no","Thursday","not holiday","weekDay"
"157","2020-06-05","23","Normal Day","no","Friday","not holiday","weekDay"
"158","2020-06-06","23","Normal Day","no","Saturday","holiday","weekEnd"
"159","2020-06-07","23","Normal Day","no","Sunday","holiday","weekEnd"
"160","2020-06-08","23","Normal Day","no","Monday","not holiday","weekDay"
"161","2020-06-09","23","Normal Day","no","Tuesday","not holiday","weekDay"
"162","2020-06-10","24","Normal Day","no","Wednesday","not holiday","weekDay"
"163","2020-06-11","24","Normal Day","no","Thursday","not holiday","weekDay"
"164","2020-06-12","24","Normal Day","no","Friday","not holiday","weekDay"
"165","2020-06-13","24","Normal Day","no","Saturday","holiday","weekEnd"
"166","2020-06-14","24","Normal Day","no","Sunday","holiday","weekEnd"
"167","2020-06-15","24","Normal Day","no","Monday","not holiday","weekDay"
"168","2020-06-16","24","Normal Day","no","Tuesday","not holiday","weekDay"
"169","2020-06-17","25","Normal Day","no","Wednesday","not holiday","weekDay"
"170","2020-06-18","25","Normal Day","no","Thursday","not holiday","weekDay"
"171","2020-06-19","25","Normal Day","no","Friday","not holiday","weekDay"
"172","2020-06-20","25","Normal Day","no","Saturday","holiday","weekEnd"
"173","2020-06-21","25","Normal Day","no","Sunday","holiday","weekEnd"
"174","2020-06-22","25","Normal Day","no","Monday","not holiday","weekDay"
"175","2020-06-23","25","Normal Day","no","Tuesday","not holiday","weekDay"
"176","2020-06-24","26","Normal Day","no","Wednesday","not holiday","weekDay"
"177","2020-06-25","26","Normal Day","no","Thursday","not holiday","weekDay"
"178","2020-06-26","26","Normal Day","no","Friday","not holiday","weekDay"
"179","2020-06-27","26","Normal Day","no","Saturday","holiday","weekEnd"
"180","2020-06-28","26","Normal Day","no","Sunday","holiday","weekEnd"
"181","2020-06-29","26","Normal Day","no","Monday","not holiday","weekDay"
"182","2020-06-30","26","Normal Day","no","Tuesday","not holiday","weekDay"
"183","2020-07-01","27","Normal Day","no","Wednesday","not holiday","weekDay"
"184","2020-07-02","27","Normal Day","no","Thursday","not holiday","weekDay"
"185","2020-07-03","27","Normal Day","no","Friday","not holiday","weekDay"
"186","2020-07-04","27","Normal Day","yes","Saturday","holiday","weekEnd"
"187","2020-07-05","27","Asalha Puja Day","yes","Sunday","holiday","Spacial"
"188","2020-07-06","27","Buddhist Lent Day","yes","Monday","holiday","Spacial"
"189","2020-07-07","27","Compensatory Holiday","yes","Tuesday","holiday","Spacial"
"190","2020-07-08","28","Normal Day","no","Wednesday","not holiday","weekDay"
"191","2020-07-09","28","Normal Day","no","Thursday","not holiday","weekDay"
"192","2020-07-10","28","Normal Day","no","Friday","not holiday","weekDay"
"193","2020-07-11","28","Normal Day","no","Saturday","holiday","weekEnd"
"194","2020-07-12","28","Normal Day","no","Sunday","holiday","weekEnd"
"195","2020-07-13","28","Normal Day","no","Monday","not holiday","weekDay"
"196","2020-07-14","28","Normal Day","no","Tuesday","not holiday","weekDay"
"197","2020-07-15","29","Normal Day","no","Wednesday","not holiday","weekDay"
"198","2020-07-16","29","Normal Day","no","Thursday","not holiday","weekDay"
"199","2020-07-17","29","Normal Day","no","Friday","not holiday","weekDay"
"200","2020-07-18","29","Normal Day","no","Saturday","holiday","weekEnd"
"201","2020-07-19","29","Normal Day","no","Sunday","holiday","weekEnd"
"202","2020-07-20","29","Normal Day","no","Monday","not holiday","weekDay"
"203","2020-07-21","29","Normal Day","no","Tuesday","not holiday","weekDay"
"204","2020-07-22","30","Normal Day","no","Wednesday","not holiday","weekDay"
"205","2020-07-23","30","Normal Day","no","Thursday","not holiday","weekDay"
"206","2020-07-24","30","Normal Day","no","Friday","not holiday","weekDay"
"207","2020-07-25","30","Normal Day","no","Saturday","holiday","weekEnd"
"208","2020-07-26","30","Normal Day","no","Sunday","holiday","weekEnd"
"209","2020-07-27","30","Normal Day","no","Monday","not holiday","weekDay"
"210","2020-07-28","30","H.M.King Maha Vajiralongkorn's Birthday","no","Tuesday","holiday","Spacial"
"211","2020-07-29","31","Normal Day","no","Wednesday","not holiday","weekDay"
"212","2020-07-30","31","Normal Day","no","Thursday","not holiday","weekDay"
"213","2020-07-31","31","Normal Day","no","Friday","not holiday","weekDay"
"214","2020-08-01","31","Normal Day","no","Saturday","holiday","weekEnd"
"215","2020-08-02","31","Normal Day","no","Sunday","holiday","weekEnd"
"216","2020-08-03","31","Normal Day","no","Monday","not holiday","weekDay"
"217","2020-08-04","31","Normal Day","no","Tuesday","not holiday","weekDay"
"218","2020-08-05","32","Normal Day","no","Wednesday","not holiday","weekDay"
"219","2020-08-06","32","Normal Day","no","Thursday","not holiday","weekDay"
"220","2020-08-07","32","Normal Day","no","Friday","not holiday","weekDay"
"221","2020-08-08","32","Normal Day","no","Saturday","holiday","weekEnd"
"222","2020-08-09","32","Normal Day","no","Sunday","holiday","weekEnd"
"223","2020-08-10","32","Normal Day","no","Monday","not holiday","weekDay"
"224","2020-08-11","32","Normal Day","no","Tuesday","not holiday","weekDay"
"225","2020-08-12","33","Mother's Day","no","Wednesday","holiday","Spacial"
"226","2020-08-13","33","Normal Day","no","Thursday","not holiday","weekDay"
"227","2020-08-14","33","Normal Day","no","Friday","not holiday","weekDay"
"228","2020-08-15","33","Normal Day","no","Saturday","holiday","weekEnd"
"229","2020-08-16","33","Normal Day","no","Sunday","holiday","weekEnd"
"230","2020-08-17","33","Normal Day","no","Monday","not holiday","weekDay"
"231","2020-08-18","33","Normal Day","no","Tuesday","not holiday","weekDay"
"232","2020-08-19","34","Normal Day","no","Wednesday","not holiday","weekDay"
"233","2020-08-20","34","Normal Day","no","Thursday","not holiday","weekDay"
"234","2020-08-21","34","Normal Day","no","Friday","not holiday","weekDay"
"235","2020-08-22","34","Normal Day","no","Saturday","holiday","weekEnd"
"236","2020-08-23","34","Normal Day","no","Sunday","holiday","weekEnd"
"237","2020-08-24","34","Normal Day","no","Monday","not holiday","weekDay"
"238","2020-08-25","34","Normal Day","no","Tuesday","not holiday","weekDay"
"239","2020-08-26","35","Normal Day","no","Wednesday","not holiday","weekDay"
"240","2020-08-27","35","Normal Day","no","Thursday","not holiday","weekDay"
"241","2020-08-28","35","Normal Day","no","Friday","not holiday","weekDay"
"242","2020-08-29","35","Normal Day","no","Saturday","holiday","weekEnd"
"243","2020-08-30","35","Normal Day","no","Sunday","holiday","weekEnd"
"244","2020-08-31","35","Normal Day","no","Monday","not holiday","weekDay"
"245","2020-09-01","35","Normal Day","no","Tuesday","not holiday","weekDay"
"246","2020-09-02","36","Normal Day","no","Wednesday","not holiday","weekDay"
"247","2020-09-03","36","Normal Day","no","Thursday","not holiday","weekDay"
"248","2020-09-04","36","Compensatory Holiday","yes","Friday","holiday","Spacial"
"249","2020-09-05","36","Normal Day","yes","Saturday","holiday","weekEnd"
"250","2020-09-06","36","Normal Day","yes","Sunday","holiday","weekEnd"
"251","2020-09-07","36","Compensatory Holiday","yes","Monday","holiday","Spacial"
"252","2020-09-08","36","Normal Day","no","Tuesday","not holiday","weekDay"
"253","2020-09-09","37","Normal Day","no","Wednesday","not holiday","weekDay"
"254","2020-09-10","37","Normal Day","no","Thursday","not holiday","weekDay"
"255","2020-09-11","37","Normal Day","no","Friday","not holiday","weekDay"
"256","2020-09-12","37","Normal Day","no","Saturday","holiday","weekEnd"
"257","2020-09-13","37","Normal Day","no","Sunday","holiday","weekEnd"
"258","2020-09-14","37","Normal Day","no","Monday","not holiday","weekDay"
"259","2020-09-15","37","Normal Day","no","Tuesday","not holiday","weekDay"
"260","2020-09-16","38","Normal Day","no","Wednesday","not holiday","weekDay"
"261","2020-09-17","38","Normal Day","no","Thursday","not holiday","weekDay"
"262","2020-09-18","38","Normal Day","no","Friday","not holiday","weekDay"
"263","2020-09-19","38","Normal Day","no","Saturday","holiday","weekEnd"
"264","2020-09-20","38","Normal Day","no","Sunday","holiday","weekEnd"
"265","2020-09-21","38","Normal Day","no","Monday","not holiday","weekDay"
"266","2020-09-22","38","Normal Day","no","Tuesday","not holiday","weekDay"
"267","2020-09-23","39","Normal Day","no","Wednesday","not holiday","weekDay"
"268","2020-09-24","39","Normal Day","no","Thursday","not holiday","weekDay"
"269","2020-09-25","39","Normal Day","no","Friday","not holiday","weekDay"
"270","2020-09-26","39","Normal Day","no","Saturday","holiday","weekEnd"
"271","2020-09-27","39","Normal Day","no","Sunday","holiday","weekEnd"
"272","2020-09-28","39","Normal Day","no","Monday","not holiday","weekDay"
"273","2020-09-29","39","Normal Day","no","Tuesday","not holiday","weekDay"
"274","2020-09-30","40","Normal Day","no","Wednesday","not holiday","weekDay"
"275","2020-10-01","40","Normal Day","no","Thursday","not holiday","weekDay"
"276","2020-10-02","40","The End of Buddhist Lent Day","yes","Friday","holiday","Spacial"
"277","2020-10-03","40","Normal Day","yes","Saturday","holiday","weekEnd"
"278","2020-10-04","40","Normal Day","yes","Sunday","holiday","weekEnd"
"279","2020-10-05","40","Normal Day","no","Monday","not holiday","weekDay"
"280","2020-10-06","40","Normal Day","no","Tuesday","not holiday","weekDay"
"281","2020-10-07","41","Normal Day","no","Wednesday","not holiday","weekDay"
"282","2020-10-08","41","Normal Day","no","Thursday","not holiday","weekDay"
"283","2020-10-09","41","Normal Day","no","Friday","not holiday","weekDay"
"284","2020-10-10","41","Normal Day","no","Saturday","holiday","weekEnd"
"285","2020-10-11","41","Normal Day","no","Sunday","holiday","weekEnd"
"286","2020-10-12","41","Normal Day","no","Monday","not holiday","weekDay"
"287","2020-10-13","41","H.M. King Bhumibol Adulyadej Memorial Day","no","Tuesday","holiday","Spacial"
"288","2020-10-14","42","Normal Day","no","Wednesday","not holiday","weekDay"
"289","2020-10-15","42","Normal Day","no","Thursday","not holiday","weekDay"
"290","2020-10-16","42","Normal Day","no","Friday","not holiday","weekDay"
"291","2020-10-17","42","Normal Day","no","Saturday","holiday","weekEnd"
"292","2020-10-18","42","Normal Day","no","Sunday","holiday","weekEnd"
"293","2020-10-19","42","Normal Day","no","Monday","not holiday","weekDay"
"294","2020-10-20","42","Normal Day","no","Tuesday","not holiday","weekDay"
"295","2020-10-21","43","Normal Day","no","Wednesday","not holiday","weekDay"
"296","2020-10-22","43","Normal Day","no","Thursday","not holiday","weekDay"
"297","2020-10-23","43","Chulalongkorn Day","yes","Friday","holiday","Spacial"
"298","2020-10-24","43","Normal Day","yes","Saturday","holiday","weekEnd"
"299","2020-10-25","43","Normal Day","yes","Sunday","holiday","weekEnd"
"300","2020-10-26","43","Normal Day","no","Monday","not holiday","weekDay"
"301","2020-10-27","43","Normal Day","no","Tuesday","not holiday","weekDay"
"302","2020-10-28","44","Normal Day","no","Wednesday","not holiday","weekDay"
"303","2020-10-29","44","Normal Day","no","Thursday","not holiday","weekDay"
"304","2020-10-30","44","Normal Day","no","Friday","not holiday","weekDay"
"305","2020-10-31","44","Normal Day","no","Saturday","holiday","weekEnd"
"306","2020-11-01","44","Normal Day","no","Sunday","holiday","weekEnd"
"307","2020-11-02","44","Normal Day","no","Monday","not holiday","weekDay"
"308","2020-11-03","44","Normal Day","no","Tuesday","not holiday","weekDay"
"309","2020-11-04","45","Normal Day","no","Wednesday","not holiday","weekDay"
"310","2020-11-05","45","Normal Day","no","Thursday","not holiday","weekDay"
"311","2020-11-06","45","Normal Day","no","Friday","not holiday","weekDay"
"312","2020-11-07","45","Normal Day","no","Saturday","holiday","weekEnd"
"313","2020-11-08","45","Normal Day","no","Sunday","holiday","weekEnd"
"314","2020-11-09","45","Normal Day","no","Monday","not holiday","weekDay"
"315","2020-11-10","45","Normal Day","no","Tuesday","not holiday","weekDay"
"316","2020-11-11","46","Normal Day","no","Wednesday","not holiday","weekDay"
"317","2020-11-12","46","Normal Day","no","Thursday","not holiday","weekDay"
"318","2020-11-13","46","Normal Day","no","Friday","not holiday","weekDay"
"319","2020-11-14","46","Normal Day","no","Saturday","holiday","weekEnd"
"320","2020-11-15","46","Normal Day","no","Sunday","holiday","weekEnd"
"321","2020-11-16","46","Normal Day","no","Monday","not holiday","weekDay"
"322","2020-11-17","46","Normal Day","no","Tuesday","not holiday","weekDay"
"323","2020-11-18","47","Normal Day","no","Wednesday","not holiday","weekDay"
"324","2020-11-19","47","Special Holidays","yes","Thursday","holiday","Spacial"
"325","2020-11-20","47","Special Holidays","yes","Friday","holiday","Spacial"
"326","2020-11-21","47","Normal Day","yes","Saturday","holiday","weekEnd"
"327","2020-11-22","47","Normal Day","yes","Sunday","holiday","weekEnd"
"328","2020-11-23","47","Normal Day","no","Monday","not holiday","weekDay"
"329","2020-11-24","47","Normal Day","no","Tuesday","not holiday","weekDay"
"330","2020-11-25","48","Normal Day","no","Wednesday","not holiday","weekDay"
"331","2020-11-26","48","Normal Day","no","Thursday","not holiday","weekDay"
"332","2020-11-27","48","Normal Day","no","Friday","not holiday","weekDay"
"333","2020-11-28","48","Normal Day","no","Saturday","holiday","weekEnd"
"334","2020-11-29","48","Normal Day","no","Sunday","holiday","weekEnd"
"335","2020-11-30","48","Normal Day","no","Monday","not holiday","weekDay"
"336","2020-12-01","48","Normal Day","no","Tuesday","not holiday","weekDay"
"337","2020-12-02","49","Normal Day","no","Wednesday","not holiday","weekDay"
"338","2020-12-03","49","Normal Day","no","Thursday","not holiday","weekDay"
"339","2020-12-04","49","Normal Day","no","Friday","not holiday","weekDay"
"340","2020-12-05","49","Father's Day","yes","Saturday","holiday","Spacial"
"341","2020-12-06","49","Normal Day","yes","Sunday","holiday","weekEnd"
"342","2020-12-07","49","Compensatory Holiday","yes","Monday","holiday","Spacial"
"343","2020-12-08","49","Normal Day","no","Tuesday","not holiday","weekDay"
"344","2020-12-09","50","Normal Day","no","Wednesday","not holiday","weekDay"
"345","2020-12-10","50","Constitution Day","yes","Thursday","holiday","Spacial"
"346","2020-12-11","50","Compensatory Holiday","yes","Friday","holiday","Spacial"
"347","2020-12-12","50","Special Holidays","yes","Saturday","holiday","Spacial"
"348","2020-12-13","50","Special Holidays","yes","Sunday","holiday","Spacial"
"349","2020-12-14","50","Normal Day","no","Monday","not holiday","weekDay"
"350","2020-12-15","50","Normal Day","no","Tuesday","not holiday","weekDay"
"351","2020-12-16","51","Normal Day","no","Wednesday","not holiday","weekDay"
"352","2020-12-17","51","Normal Day","no","Thursday","not holiday","weekDay"
"353","2020-12-18","51","Normal Day","no","Friday","not holiday","weekDay"
"354","2020-12-19","51","Normal Day","no","Saturday","holiday","weekEnd"
"355","2020-12-20","51","Normal Day","no","Sunday","holiday","weekEnd"
"356","2020-12-21","51","Normal Day","no","Monday","not holiday","weekDay"
"357","2020-12-22","51","Normal Day","no","Tuesday","not holiday","weekDay"
"358","2020-12-23","52","Normal Day","no","Wednesday","not holiday","weekDay"
"359","2020-12-24","52","Normal Day","no","Thursday","not holiday","weekDay"
"360","2020-12-25","52","Normal Day","no","Friday","not holiday","weekDay"
"361","2020-12-26","52","Normal Day","no","Saturday","holiday","weekEnd"
"362","2020-12-27","52","Normal Day","no","Sunday","holiday","weekEnd"
"363","2020-12-28","52","Normal Day","no","Monday","not holiday","weekDay"
"364","2020-12-29","52","Normal Day","no","Tuesday","not holiday","weekDay"
"365","2020-12-30","53","Normal Day","no","Wednesday","not holiday","weekDay"
"366","2020-12-31","53","New Year's Eve","yes","Thursday","holiday","Spacial"
"367","2021-01-01","1","New Year's Day","yes","Friday","holiday","Spacial"
"368","2021-01-02","1","Normal Day","yes","Saturday","holiday","weekEnd"
"369","2021-01-03","1","Normal Day","yes","Sunday","holiday","weekEnd"
"370","2021-01-04","1","Normal Day","no","Monday","not holiday","weekDay"
"371","2021-01-05","1","Normal Day","no","Tuesday","not holiday","weekDay"
"372","2021-01-06","1","Normal Day","no","Wednesday","not holiday","weekDay"
"373","2021-01-07","1","Normal Day","no","Thursday","not holiday","weekDay"
"374","2021-01-08","2","Normal Day","no","Friday","not holiday","weekDay"
"375","2021-01-09","2","Normal Day","no","Saturday","holiday","weekEnd"
"376","2021-01-10","2","Normal Day","no","Sunday","holiday","weekEnd"
"377","2021-01-11","2","Normal Day","no","Monday","not holiday","weekDay"
"378","2021-01-12","2","Normal Day","no","Tuesday","not holiday","weekDay"
"379","2021-01-13","2","Normal Day","no","Wednesday","not holiday","weekDay"
"380","2021-01-14","2","Normal Day","no","Thursday","not holiday","weekDay"
"381","2021-01-15","3","Normal Day","no","Friday","not holiday","weekDay"
"382","2021-01-16","3","Normal Day","no","Saturday","holiday","weekEnd"
